Time (s) Run 6,Nitric Acid,Citric Acid,Hydrochloric Acid,Acetic (Ethanoic) Acid,Ionized Water,Tap Water,Ammonia,Sodium Hydroxide,,,,,,,
23,1.2,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
23.2,1.1,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
23.4,1.1,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
23.6,1.1,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
23.8,1.2,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
24,1.1,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
24.2,1.1,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
24.4,1.1,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
24.6,1.1,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
24.8,1.1,2,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
25,,2,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
25.2,,2,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
25.4,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
25.6,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
25.8,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
26,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
26.2,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
26.4,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
26.6,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
26.8,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
27,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
27.2,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
27.4,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
27.6,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
27.8,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
28,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
28.2,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
28.4,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
28.6,,,1.1,2.6,5,5.7,8.4,11.9,,,,,,,
28.8,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
29,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
29.2,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
29.4,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
29.6,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
29.8,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
30,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
30.2,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
30.4,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
30.6,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
30.8,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
31,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
31.2,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
31.4,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
31.6,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
31.8,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
32,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
32.2,,,1.1,2.6,5,5.7,8.5,11.9,,,,,,,
32.4,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
32.6,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
32.8,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
33,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
33.2,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
33.4,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
33.6,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
33.8,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
34,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
34.2,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
34.4,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
34.6,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
34.8,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
35,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
35.2,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
35.4,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
35.6,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
35.8,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
36,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
36.2,,,1.1,2.6,5,5.8,8.5,11.9,,,,,,,
36.4,,,,2.6,5,5.8,8.5,11.9,,,,,,,
36.6,,,,2.6,5,5.8,8.5,11.9,,,,,,,
36.8,,,,2.6,5,5.8,8.5,11.9,,,,,,,
37,,,,2.6,5,5.8,,11.9,,,,,,,
37.2,,,,2.6,5,5.8,,11.9,,,,,,,
37.4,,,,2.6,5,5.8,,11.9,,,,,,,
37.6,,,,2.6,,5.8,,11.9,,,,,,,
37.8,,,,2.6,,5.8,,11.9,,,,,,,
38,,,,2.6,,5.8,,11.9,,,,,,,
38.2,,,,2.6,,5.8,,11.9,,,,,,,
38.4,,,,2.6,,5.8,,11.9,,,,,,,
38.6,,,,2.6,,5.8,,11.9,,,,,,,
38.8,,,,2.6,,5.8,,11.9,,,,,,,
39,,,,2.6,,5.8,,11.9,,,,,,,
39.2,,,,2.6,,5.8,,11.9,,,,,,,
39.4,,,,2.6,,5.8,,11.9,,,,,,,
39.6,,,,2.6,,5.8,,11.9,,,,,,,
39.8,,,,2.6,,5.8,,11.9,,,,,,,
40,,,,,,5.8,,11.9,,,,,,,
40.2,,,,,,5.8,,11.9,,,,,,,
40.4,,,,,,5.8,,11.9,,,,,,,
40.6,,,,,,5.8,,11.9,,,,,,,
40.8,,,,,,5.8,,11.9,,,,,,,
41,,,,,,5.8,,11.9,,,,,,,
41.2,,,,,,5.8,,11.9,,,,,,,
41.4,,,,,,5.8,,11.9,,,,,,,
41.6,,,,,,5.8,,11.9,,,,,,,
41.8,,,,,,5.8,,11.9,,,,,,,
42,,,,,,5.8,,11.9,,,,,,,
42.2,,,,,,5.8,,11.9,,,,,,,
42.4,,,,,,5.8,,11.9,,,,,,,
42.6,,,,,,5.9,,11.9,,,,,,,
42.8,,,,,,5.9,,11.9,,,,,,,
43,,,,,,5.9,,11.9,,,,,,,
43.2,,,,,,5.9,,11.9,,,,,,,
43.4,,,,,,5.9,,11.9,,,,,,,
43.6,,,,,,5.9,,11.9,,,,,,,
43.8,,,,,,5.9,,11.9,,,,,,,
44,,,,,,5.9,,11.9,,,,,,,
44.2,,,,,,5.9,,11.9,,,,,,,
44.4,,,,,,5.9,,11.9,,,,,,,
44.6,,,,,,5.9,,11.9,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
